"Devengado";"Finalidad";"Función";"División"
"0";"PROTECCIÓN AMBIENTAL";"Ordenación de Aguas Residuales";"Ordenación de aguas residuales"
"142404.5";"PROTECCIÓN AMBIENTAL";"Ordenación de Desechos";"Ordenación de desechos"
"11050385.1";"PROTECCIÓN AMBIENTAL";"Protección Ambiental n.c.d";"Protección ambiental n.c.d"
"14997668.91";"PROTECCIÓN AMBIENTAL";"Protección de la Diversidad Biológica y del Paisaje";"Protección de la diversidad biológica y del paisaje"
"5433391.28";"PROTECCIÓN AMBIENTAL";"Reducción de la Contaminación";"Reducción de la contaminación"
"648333.65";"URBANIZACIÓN Y SERVICIOS COMUNITARIOS";"Abastecimiento de Agua";"Abastecimiento de agua"
"1162294628.78";"URBANIZACIÓN Y SERVICIOS COMUNITARIOS";"Desarrollo Comunitario";"Desarrollo comunitario"
"0";"URBANIZACIÓN Y SERVICIOS COMUNITARIOS";"Urbanización y Servicios Comunitarios n.c.d";"Urbanización y servicios comunitarios n.c.d"
"18169053.37";"SALUD";"Salud n.c.d";"Salud n.c.d"
"192975952.44";"SALUD";"Servicios Hospitalarios";"Servicios hospitalarios generales"
"14355453.55";"SALUD";"Servicios Hospitalarios";"Servicios médicos y de centros de maternidad"
"422325231.45";"SALUD";"Servicios de Salud Pública";"Servicios de salud pública"
"0";"SALUD";"Servicios para Pacientes Externos";"Servicios médicos generales"
"17456784.8";"ACTIVIDADES DEPORTIVAS, RECREATIVAS, CULTURA Y RELIGIÓN";"Actividades Deportivas, Recreativas, Cultura y Religión n.c.d";"Actividades deportivas, recreativas, cultura y religión n.c.d. (SC)"
"32920095.42";"ACTIVIDADES DEPORTIVAS, RECREATIVAS, CULTURA Y RELIGIÓN";"Servicios Culturales";"Servicios culturales (SI)"
"3378810.38";"ACTIVIDADES DEPORTIVAS, RECREATIVAS, CULTURA Y RELIGIÓN";"Servicios Deportivos y de Recreación";"Servicios de recreación (SI)"
"70000000";"ACTIVIDADES DEPORTIVAS, RECREATIVAS, CULTURA Y RELIGIÓN";"Servicios Deportivos y de Recreación";"Servicios deportivos (SI)"
"4995181.99";"ACTIVIDADES DEPORTIVAS, RECREATIVAS, CULTURA Y RELIGIÓN";"Servicios de Radio, Televisión y Servicios Editoriales";"Servicios de radio y televisión y servicios editoriales (SC)
"
"135813668.62";"EDUCACIÓN";"Educación Media";"Educación básica"
"56729406.45";"EDUCACIÓN";"Educación Media";"Educación diversificada"
"23743569";"EDUCACIÓN";"Educación Preprimaria y Primaria";"Alfabetización"
"282543277.85";"EDUCACIÓN";"Educación Preprimaria y Primaria";"Educación preprimaria"
"1239294955.47";"EDUCACIÓN";"Educación Preprimaria y Primaria";"Educación primaria"
"266368926.86";"EDUCACIÓN";"Educación Universitaria o Superior";"Primera etapa de la educación universitaria o superior
"
"86297359.41";"EDUCACIÓN";"Educación n.c.d";"Educación n.c.d"
"7275439.78";"EDUCACIÓN";"Educación no Atribuible a Ningún Nivel Escolarizado";"Educación no atribuible a ningún nivel escolarizado"
"2447248.55";"EDUCACIÓN";"Investigación y Desarrollo Relacionados con la Educación";"Investigación y desarrollo relacionados con la educación"
"15789454.58";"EDUCACIÓN";"Servicios Auxiliares de la Educación";"Servicios auxiliares de la educación media"
"2036921.14";"EDUCACIÓN";"Servicios Auxiliares de la Educación";"Servicios auxiliares de la educación postmedia básica y diversificada no universitaria o superior"
"534677395.27";"EDUCACIÓN";"Servicios Auxiliares de la Educación";"Servicios auxiliares de la educación preprimaria y primaria"
"33087139.04";"EDUCACIÓN";"Servicios Auxiliares de la Educación";"Servicios auxiliares de la educación universitaria o superior
"
"84135788.6";"ASUNTOS ECONÓMICOS";"Agricultura, Producción Pecuaria, Silvicultura, Caza y Pesca";"Agricultura"
"0";"ASUNTOS ECONÓMICOS";"Agricultura, Producción Pecuaria, Silvicultura, Caza y Pesca";"Caza y pesca"
"0";"ASUNTOS ECONÓMICOS";"Agricultura, Producción Pecuaria, Silvicultura, Caza y Pesca";"Silvicultura"
"23312969.33";"ASUNTOS ECONÓMICOS";"Asuntos Económicos, Comerciales y Laborales en General";"Asuntos económicos y comerciales en general"
"10793089.94";"ASUNTOS ECONÓMICOS";"Asuntos Económicos, Comerciales y Laborales en General";"Asuntos laborales generales"
"12844510.68";"ASUNTOS ECONÓMICOS";"Asuntos económicos n.c.d";"Asuntos económicos n.c.d"
"946884.9";"ASUNTOS ECONÓMICOS";"Combustibles y Energía";"Electricidad"
"2079663.34";"ASUNTOS ECONÓMICOS";"Combustibles y Energía";"Petróleo y gas natural"
"3011775.14";"ASUNTOS ECONÓMICOS";"Comunicaciones";"Comunicaciones"
"435361.09";"ASUNTOS ECONÓMICOS";"Investigación y Desarrollo Relacionados con Asuntos Económicos";"Investigación y desarrollo relacionados con agricultura, producción pecuaria, silvicultura, caza y p"
"1498.9";"ASUNTOS ECONÓMICOS";"Investigación y Desarrollo Relacionados con Asuntos Económicos";"Investigación y desarrollo relacionados con asuntos económicos, comerciales y laborales en general"
"476354.95";"ASUNTOS ECONÓMICOS";"Investigación y Desarrollo Relacionados con Asuntos Económicos";"Investigación y desarrollo relacionados con combustibles y energía"
"1443049.46";"ASUNTOS ECONÓMICOS";"Minería, Manufacturas y Construcción";"Extracción de recursos minerales excepto los combustibles minerales"
"424043.62";"ASUNTOS ECONÓMICOS";"Minería, Manufacturas y Construcción";"Manufacturas"
"2370460.48";"ASUNTOS ECONÓMICOS";"Otras Actividades Económicas y Financieras";"Comercio, distribución, almacenamiento y depósito"
"9089347.88";"ASUNTOS ECONÓMICOS";"Otras Actividades Económicas y Financieras";"Turismo"
"37493701.11";"ASUNTOS ECONÓMICOS";"Transporte";"Transporte aéreo"
"906129";"ASUNTOS ECONÓMICOS";"Transporte";"Transporte por agua"
"173422499.9";"ASUNTOS ECONÓMICOS";"Transporte";"Transporte por carretera"
"750000";"ASUNTOS ECONÓMICOS";"Transporte";"Transporte por ferrocarril"
"942140322.55";"PROTECCIÓN SOCIAL";"Edad  Avanzada";"Edad avanzada"
"98950000";"PROTECCIÓN SOCIAL";"Enfermedad, Funcionamiento Corporal y Discapacidad";"Enfermedad"
"310047.11";"PROTECCIÓN SOCIAL";"Enfermedad, Funcionamiento Corporal y Discapacidad";"Funcionamiento corporal y discapacidad"
"47516911.89";"PROTECCIÓN SOCIAL";"Familia e Hijos";"Familia e hijos"
"21495502.32";"PROTECCIÓN SOCIAL";"Otros Riesgos de Exclusión Social";"Otros riesgos de exclusión social"
"28656164.17";"PROTECCIÓN SOCIAL";"Protección Social n.c.d";"Protección social n.c.d"
"3298021.73";"PROTECCIÓN SOCIAL";"Vivienda";"Vivienda"
"430159064.08";"TRANSACCIONES DE LA DEUDA PÚBLICA";"Amortizaciones de la Deuda Pública";"Amortizaciones de deuda pública"
"873479040.65";"TRANSACCIONES DE LA DEUDA PÚBLICA";"Intereses y Comisiones de la Deuda Pública";"Intereses y comisiones de la deuda pública"
"78136717.52";"SERVICIOS PUBLICOS GENERALES";"Administración Fiscal, Monetaria y Servicios de Fiscalización";"Asuntos fiscales"
"227754271.69";"SERVICIOS PUBLICOS GENERALES";"Administración Fiscal, Monetaria y Servicios de Fiscalización";"Servicios de fiscalización"
"47092494.36";"SERVICIOS PUBLICOS GENERALES";"Administración Legislativa, Ejecutiva y Asuntos Exteriores";"Asuntos exteriores"
"59643195.12";"SERVICIOS PUBLICOS GENERALES";"Administración Legislativa, Ejecutiva y Asuntos Exteriores";"Ejecutiva"
"94000000";"SERVICIOS PUBLICOS GENERALES";"Administración Legislativa, Ejecutiva y Asuntos Exteriores";"Legislativa"
"0";"SERVICIOS PUBLICOS GENERALES";"Investigación y Desarrollo Relacionados con los  Servicios Públicos Generales";"Investigación y desarrollo relacionados con los servicios públicos generales"
"7384519.42";"SERVICIOS PUBLICOS GENERALES";"Servicios Generales";"Administración general del recurso humano"
"3314483.72";"SERVICIOS PUBLICOS GENERALES";"Servicios Generales";"Otros servicios generales"
