"Región";"Departamento";"Municipio";"Devengado"
"REGIÓN I METROPOLITANA";"GUATEMALA";"AMATITLAN";"34726289.52"
"REGIÓN I METROPOLITANA";"GUATEMALA";"CHINAUTLA";"19576458.84"
"REGIÓN I METROPOLITANA";"GUATEMALA";"CHUARRANCHO";"6147686.1"
"REGIÓN I METROPOLITANA";"GUATEMALA";"FRAIJANES";"18923423.1"
"REGIÓN I METROPOLITANA";"GUATEMALA";"GUATEMALA";"2352732308.27"
"REGIÓN I METROPOLITANA";"GUATEMALA";"MIXCO";"56638131.63"
"REGIÓN I METROPOLITANA";"GUATEMALA";"MULTIMUNICIPAL";"352168655.1"
"REGIÓN I METROPOLITANA";"GUATEMALA";"PALENCIA";"13435677.72"
"REGIÓN I METROPOLITANA";"GUATEMALA";"PETAPA";"18102428.47"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SAN JOSE DEL GOLFO";"9107355.65"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SAN JOSE PINULA";"16203062.84"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SAN JUAN SACATEPEQUEZ";"48992623.55"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SAN PEDRO AYAMPUC";"11045511.85"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SAN PEDRO SACATEPEQUEZ";"10625025.26"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SAN RAYMUNDO";"9146661.6"
"REGIÓN I METROPOLITANA";"GUATEMALA";"SANTA CATARINA PINULA";"21797014.09"
"REGIÓN I METROPOLITANA";"GUATEMALA";"VILLA CANALES";"23586337.96"
"REGIÓN I METROPOLITANA";"GUATEMALA";"VILLA NUEVA";"88037901.85"
"REGIÓN II NORTE";"MULTIDEPARTAMENTAL REGION II";"MULTIDEPARTAMENTAL REGION II";"0"
"REGIÓN II NORTE";"BAJA VERAPAZ";"CUBULCO";"15976690.2"
"REGIÓN II NORTE";"BAJA VERAPAZ";"EL CHOL";"6383638.8"
"REGIÓN II NORTE";"BAJA VERAPAZ";"GRANADOS";"8159437.16"
"REGIÓN II NORTE";"BAJA VERAPAZ";"MULTIMUNICIPAL";"18605844.89"
"REGIÓN II NORTE";"BAJA VERAPAZ";"PURULHA";"12132726.21"
"REGIÓN II NORTE";"BAJA VERAPAZ";"RABINAL";"13386460.46"
"REGIÓN II NORTE";"BAJA VERAPAZ";"SALAMA";"48896166.47"
"REGIÓN II NORTE";"BAJA VERAPAZ";"SAN JERONIMO";"8732830.26"
"REGIÓN II NORTE";"BAJA VERAPAZ";"SAN MIGUEL CHICAJ";"8941814.67"
"REGIÓN II NORTE";"ALTA VERAPAZ";"CAHABON";"19784281.27"
"REGIÓN II NORTE";"ALTA VERAPAZ";"CHAHAL";"9275626.75"
"REGIÓN II NORTE";"ALTA VERAPAZ";"CHISEC";"19129751.41"
"REGIÓN II NORTE";"ALTA VERAPAZ";"COBAN";"82352304.09"
"REGIÓN II NORTE";"ALTA VERAPAZ";"FRAY BARTOLOME DE LAS CASAS";"19394861.99"
"REGIÓN II NORTE";"ALTA VERAPAZ";"LANQUIN";"8065180.49"
"REGIÓN II NORTE";"ALTA VERAPAZ";"MULTIMUNICIPAL";"32828032.11"
"REGIÓN II NORTE";"ALTA VERAPAZ";"PANZOS";"16529682.7"
"REGIÓN II NORTE";"ALTA VERAPAZ";"RAXRUHA";"10045270.6"
"REGIÓN II NORTE";"ALTA VERAPAZ";"SAN CRISTOBAL VERAPAZ";"16147977.19"
"REGIÓN II NORTE";"ALTA VERAPAZ";"SAN JUAN CHAMELCO";"14305263.69"
"REGIÓN II NORTE";"ALTA VERAPAZ";"SAN PEDRO CARCHA";"47145234.1"
"REGIÓN II NORTE";"ALTA VERAPAZ";"SANTA CATALINA LA TINTA";"12325670.8"
"REGIÓN II NORTE";"ALTA VERAPAZ";"SANTA CRUZ VERAPAZ";"11095927.79"
"REGIÓN II NORTE";"ALTA VERAPAZ";"SENAHU";"17387575.43"
"REGIÓN II NORTE";"ALTA VERAPAZ";"TACTIC";"10141467.7"
"REGIÓN II NORTE";"ALTA VERAPAZ";"TAMAHU";"6762779.56"
"REGIÓN II NORTE";"ALTA VERAPAZ";"TUCURU";"11095972.64"
"REGIÓN III NORORIENTE";"IZABAL";"EL ESTOR";"19960611.08"
"REGIÓN III NORORIENTE";"IZABAL";"LIVINGSTON";"17912167.77"
"REGIÓN III NORORIENTE";"IZABAL";"LOS AMATES";"17487604.2"
"REGIÓN III NORORIENTE";"IZABAL";"MORALES";"24316494.71"
"REGIÓN III NORORIENTE";"IZABAL";"MULTIMUNICIPAL";"14654165.01"
"REGIÓN III NORORIENTE";"IZABAL";"PUERTO BARRIOS";"69909363.96"
"REGIÓN III NORORIENTE";"ZACAPA";"CABAÑAS";"6156391.55"
"REGIÓN III NORORIENTE";"ZACAPA";"ESTANZUELA";"5905619.5"
"REGIÓN III NORORIENTE";"ZACAPA";"GUALAN";"16547166.48"
"REGIÓN III NORORIENTE";"ZACAPA";"HUITE";"5641368.74"
